Stock Price,Strike Price,Maturity,Dividends,Volatility,Risk-free,Call Price
128.2,80.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,46.1
128.2,110.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,16.1
128.2,111.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,15.1
128.2,113.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,13.1
128.2,114.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,12.2
128.2,115.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,11.2
128.2,116.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,10.2
128.2,117.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,9.3
128.2,118.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,8.3
128.2,119.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,7.4
128.2,120.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,6.5
128.2,121.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,3.8
128.2,122.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,3.0
128.2,123.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,2.35
128.2,124.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,1.75
128.2,125.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,1.3
128.2,126.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.95
128.2,127.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.6
128.2,128.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.5
128.2,129.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.3
128.2,130.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.15
128.2,131.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.15
128.2,132.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.35
128.2,133.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.25
128.2,134.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.2
128.2,135.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.15
128.2,136.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.15
128.2,137.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.15
128.2,138.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.2
128.2,140.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.5
128.2,145.0,0.005738332446066875,0.046799999999999994,0.2932,0.0088,0.25
128.2,113.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,12.2
128.2,114.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,11.4
128.2,115.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,10.4
128.2,116.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,9.7
128.2,118.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,8.6
128.2,119.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,6.4
128.2,120.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,5.5
128.2,121.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,4.8
128.2,122.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,4.1
128.2,123.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,3.5
128.2,124.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,2.9
128.2,125.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,2.4
128.2,126.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,2.0
128.2,127.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,1.55
128.2,128.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,1.3
128.2,129.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,0.9
128.2,130.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,0.75
128.2,131.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,1.55
128.2,132.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,0.75
128.2,133.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,1.5
128.2,134.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,0.4
128.2,135.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,0.85
128.2,136.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,0.3
128.2,139.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,0.2
128.2,140.0,0.024903287955991584,0.046799999999999994,0.2932,0.0088,0.2
128.2,116.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,10.1
128.2,117.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,8.6
128.2,118.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,7.7
128.2,120.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,6.8
128.2,121.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,5.4
128.2,122.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,4.7
128.2,123.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,4.1
128.2,124.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,3.5
128.2,125.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,2.95
128.2,126.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,2.45
128.2,127.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,4.2
128.2,128.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,3.4
128.2,129.0,0.04406824346591629,0.046799999999999994,0.2932,0.0088,4.2
